#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   1.000000E-01   9.349147E-01   2.000000E+00
 -2.000000E+01   2.000000E-01   6.244941E-01   2.000000E+00
 -2.000000E+01   3.000000E-01   2.030240E-01   2.000000E+00
 -2.000000E+01   4.000000E-01   2.101084E-01   2.000000E+00
 -2.000000E+01   5.000000E-01   2.426646E-01   2.000000E+00
 -2.000000E+01   6.000000E-01   2.815856E-01   2.000000E+00
 -2.000000E+01   7.000000E-01   3.226303E-01   2.000000E+00
 -2.000000E+01   8.000000E-01   3.640147E-01   2.000000E+00
 -2.000000E+01   9.000000E-01   4.047406E-01   2.000000E+00
 -2.000000E+01   1.000000E+00   4.441805E-01   2.000000E+00
 -2.000000E+01   1.100000E+00   4.819311E-01   2.000000E+00
 -2.000000E+01   1.200000E+00   5.177446E-01   2.000000E+00
 -2.000000E+01   1.300000E+00   5.514882E-01   2.000000E+00
 -2.000000E+01   1.400000E+00   5.831145E-01   2.000000E+00
 -2.000000E+01   1.500000E+00   6.126386E-01   2.000000E+00
 -2.000000E+01   1.600000E+00   6.401189E-01   2.000000E+00
 -2.000000E+01   1.700000E+00   6.656426E-01   2.000000E+00
 -2.000000E+01   1.800000E+00   6.893137E-01   2.000000E+00
 -2.000000E+01   1.900000E+00   7.112443E-01   2.000000E+00
 -2.000000E+01   2.000000E+00   7.315485E-01   2.000000E+00
 -2.000000E+01   2.100000E+00   7.503387E-01   2.000000E+00
 -2.000000E+01   2.200000E+00   7.677229E-01   2.000000E+00
 -2.000000E+01   2.300000E+00   7.838034E-01   2.000000E+00
 -2.000000E+01   2.400000E+00   7.986763E-01   2.000000E+00
 -2.000000E+01   2.500000E+00   8.124314E-01   2.000000E+00
 -2.000000E+01   2.600000E+00   8.251525E-01   2.000000E+00
 -2.000000E+01   2.700000E+00   8.369176E-01   2.000000E+00
 -2.000000E+01   2.800000E+00   8.477992E-01   2.000000E+00
 -2.000000E+01   2.900000E+00   8.578647E-01   2.000000E+00
 -2.000000E+01   3.000000E+00   8.671767E-01   2.000000E+00
