#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
 -2.000000E+01   1.000000E-01   1.133740E+01   1.133740E+01   7.301545E+00   2.681972E+00  -2.656167E+00
 -2.000000E+01   2.000000E-01   4.012125E+00   4.012125E+00   3.075672E+01   6.902424E-01  -5.625016E+01
 -2.000000E+01   3.000000E-01  -9.012067E+00  -9.012067E+00   4.087564E+01   4.950873E-01  -1.017558E+02
 -2.000000E+01   4.000000E-01  -1.598596E+01  -1.598596E+01   3.843224E+01   5.227056E-01  -1.109272E+02
 -2.000000E+01   5.000000E-01  -1.942835E+01  -1.942835E+01   3.452955E+01   5.801165E-01  -1.102363E+02
 -2.000000E+01   6.000000E-01  -2.101472E+01  -2.101472E+01   3.080250E+01   6.491437E-01  -1.062310E+02
 -2.000000E+01   7.000000E-01  -2.158723E+01  -2.158723E+01   2.756485E+01   7.243769E-01  -1.012017E+02
 -2.000000E+01   8.000000E-01  -2.158565E+01  -2.158565E+01   2.482628E+01   8.033086E-01  -9.603708E+01
 -2.000000E+01   9.000000E-01  -2.125161E+01  -2.125161E+01   2.252371E+01   8.844422E-01  -9.108841E+01
 -2.000000E+01   1.000000E+00  -2.072380E+01  -2.072380E+01   2.058446E+01   9.667360E-01  -8.648346E+01
 -2.000000E+01   1.100000E+00  -2.008464E+01  -2.008464E+01   1.894339E+01   1.049399E+00  -8.225366E+01
 -2.000000E+01   1.200000E+00  -1.938448E+01  -1.938448E+01   1.754639E+01   1.131799E+00  -7.838893E+01
 -2.000000E+01   1.300000E+00  -1.865465E+01  -1.865465E+01   1.634972E+01   1.213423E+00  -7.486244E+01
 -2.000000E+01   1.400000E+00  -1.791497E+01  -1.791497E+01   1.531834E+01   1.293847E+00  -7.164201E+01
 -2.000000E+01   1.500000E+00  -1.717799E+01  -1.717799E+01   1.442419E+01   1.372725E+00  -6.869526E+01
 -2.000000E+01   1.600000E+00  -1.645169E+01  -1.645169E+01   1.364472E+01   1.449774E+00  -6.599191E+01
 -2.000000E+01   1.700000E+00  -1.574107E+01  -1.574107E+01   1.296171E+01   1.524770E+00  -6.350464E+01
 -2.000000E+01   1.800000E+00  -1.504916E+01  -1.504916E+01   1.236036E+01   1.597538E+00  -6.120919E+01
 -2.000000E+01   1.900000E+00  -1.437770E+01  -1.437770E+01   1.182856E+01   1.667945E+00  -5.908430E+01
 -2.000000E+01   2.000000E+00  -1.372757E+01  -1.372757E+01   1.135633E+01   1.735896E+00  -5.711138E+01
 -2.000000E+01   2.100000E+00  -1.309906E+01  -1.309906E+01   1.093541E+01   1.801331E+00  -5.527427E+01
 -2.000000E+01   2.200000E+00  -1.249210E+01  -1.249210E+01   1.055889E+01   1.864215E+00  -5.355884E+01
 -2.000000E+01   2.300000E+00  -1.190633E+01  -1.190633E+01   1.022100E+01   1.924538E+00  -5.195281E+01
 -2.000000E+01   2.400000E+00  -1.134125E+01  -1.134125E+01   9.916848E+00   1.982312E+00  -5.044544E+01
 -2.000000E+01   2.500000E+00  -1.079626E+01  -1.079626E+01   9.642288E+00   2.037562E+00  -4.902733E+01
 -2.000000E+01   2.600000E+00  -1.027067E+01  -1.027067E+01   9.393786E+00   2.090330E+00  -4.769024E+01
 -2.000000E+01   2.700000E+00  -9.763797E+00  -9.763797E+00   9.168316E+00   2.140668E+00  -4.642690E+01
 -2.000000E+01   2.800000E+00  -9.274915E+00  -9.274915E+00   8.963267E+00   2.188638E+00  -4.523092E+01
 -2.000000E+01   2.900000E+00  -8.803312E+00  -8.803312E+00   8.776386E+00   2.234308E+00  -4.409663E+01
 -2.000000E+01   3.000000E+00  -8.348285E+00  -8.348285E+00   8.605715E+00   2.277751E+00  -4.301900E+01
