-2.000000000000000000e+01 -6.463230474539471970e+00 -5.174984980603205109e+00 -3.907755687923947008e+00 -2.644900411962966214e+00 -1.414633517547472685e+00 -2.643890302756908284e-01 -8.729257562908837587e-02 8.698532482737094673e-01 1.017851190539381001e+00 1.137176671694503094e+00
-1.900000000000000000e+01 -5.641498667442702342e+00 -4.386279864445156385e+00 -3.149841099369378394e+00 -1.915709741468525795e+00 -7.123046986147100190e-01 1.380227863864466331e-01 5.855585851678671849e-01 1.265703840698132687e+00 1.532777392521784465e+00 1.675110112153307185e+00
-1.800000000000000000e+01 -4.834869081029559368e+00 -3.611750734184052458e+00 -2.405055907665142101e+00 -1.198697042477423924e+00 -2.103071348338157731e-02 5.365512165602965844e-01 1.247567517468730847e+00 1.656594220342312296e+00 1.922733114696935086e+00 2.322720980803790525e+00
-1.700000000000000000e+01 -4.045365937155978031e+00 -2.853184498328695806e+00 -1.674987961976158513e+00 -4.953079694136056088e-01 6.578841281940632779e-01 9.311379148138619888e-01 1.897463362906082640e+00 2.042650264389088033e+00 2.306701090393476150e+00 2.958802306046048436e+00
-1.600000000000000000e+01 -3.275307019310913059e+00 -2.112621321058683943e+00 -9.614535405448604299e-01 1.928022694559573258e-01 1.320122869485618633e+00 1.324550074127876176e+00 2.423375051141094971e+00 2.534414189556743580e+00 2.684367825769537586e+00 3.523505817786333427e+00
-1.500000000000000000e+01 -2.527322857831094449e+00 -1.392375732651307985e+00 -2.665212609853178649e-01 8.637458138187980028e-01 1.708216742198413129e+00 1.972486107228474728e+00 2.799878324021690457e+00 3.054890576061289220e+00 3.156332920721947488e+00 3.894004236298084898e+00
-1.400000000000000000e+01 -1.804356213536486342e+00 -6.950448492432416137e-01 4.074726901636177567e-01 1.515385858677870790e+00 2.090646878945914278e+00 2.604432648072525502e+00 3.171603046180883734e+00 3.418709135982746172e+00 3.761309217660057325e+00 4.254819039855798124e+00
-1.300000000000000000e+01 -1.109626063378101879e+00 -2.349162484237988721e-02 1.057928009497619559e+00 2.145335404875062135e+00 2.468840520131410088e+00 3.216618916379253346e+00 3.538727316384398858e+00 3.774836780227619037e+00 4.347878013575273037e+00 4.610704340790158007e+00
-1.200000000000000000e+01 -4.465353124386596262e-01 6.192140303953460601e-01 1.682017378026103405e+00 2.750983504719204387e+00 2.842557934899124117e+00 3.806575024382791828e+00 3.901254093191264261e+00 4.122919621090529674e+00 4.913821875029956487e+00 4.962066303865198869e+00
-1.100000000000000000e+01 1.814994465943842172e-01 1.229916796566739023e+00 2.276776500554145155e+00 3.211330686620498920e+00 3.329565488309716770e+00 4.259010029200505976e+00 4.371644198855740626e+00 4.462493479724760626e+00 5.308963150090322713e+00 5.456860031640881736e+00
-1.000000000000000000e+01 7.713079225666599203e-01 1.805577257028905924e+00 2.839266061804611496e+00 3.574336262974139089e+00 3.878294598438126073e+00 4.611526414257503426e+00 4.793068257071078087e+00 4.909089262160049039e+00 5.651162486071974911e+00 5.813286858073514196e+00
-9.000000000000000000e+00 1.320299956558053545e+00 2.343552691707602609e+00 3.366813150817664635e+00 3.930275453656445261e+00 4.394565175655824163e+00 4.957898301845006905e+00 5.114138293479878250e+00 5.416272432645493851e+00 5.988029844954087189e+00 6.130109264295909632e+00
-8.000000000000000000e+00 1.826813102078164608e+00 2.841921860195292471e+00 3.857311622988192301e+00 4.277316191645436305e+00 4.876216639550644771e+00 5.296675408290307807e+00 5.425191111335490923e+00 5.890903001719723697e+00 6.318407034533998434e+00 6.437430406757370882e+00
