#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
 -2.000000E+01   5.000000E-01  -1.891464E+00  -1.891464E+00   4.650902E+00   1.213326E-01  -1.357006E+01
 -1.900000E+01   5.000000E-01  -1.557831E+00  -1.557831E+00   4.417058E+00   1.275090E-01  -1.245981E+01
 -1.800000E+01   5.000000E-01  -1.235944E+00  -1.235944E+00   4.178590E+00   1.344869E-01  -1.136702E+01
 -1.700000E+01   5.000000E-01  -9.266104E-01  -9.266104E-01   3.935711E+00   1.424203E-01  -1.029432E+01
 -1.600000E+01   5.000000E-01  -6.306937E-01  -6.306937E-01   3.688844E+00   1.514972E-01  -9.245065E+00
 -1.500000E+01   5.000000E-01  -3.491040E-01  -3.491040E-01   3.438756E+00   1.619432E-01  -8.223493E+00
 -1.400000E+01   5.000000E-01  -8.277271E-02  -8.277271E-02   3.186707E+00   1.740219E-01  -7.235046E+00
 -1.300000E+01   5.000000E-01   1.673894E-01   1.673894E-01   2.934641E+00   1.880252E-01  -6.286604E+00
 -1.200000E+01   5.000000E-01   4.005602E-01   4.005602E-01   2.685377E+00   2.042474E-01  -5.386624E+00
 -1.100000E+01   5.000000E-01   6.161038E-01   6.161038E-01   2.442720E+00   2.229318E-01  -4.544959E+00
 -1.000000E+01   5.000000E-01   8.136909E-01   8.136909E-01   2.211334E+00   2.441889E-01  -3.772041E+00
 -9.000000E+00   5.000000E-01   9.934199E-01   9.934199E-01   1.996233E+00   2.679039E-01  -3.077242E+00
 -8.000000E+00   5.000000E-01   1.155890E+00   1.155890E+00   1.801866E+00   2.936802E-01  -2.466673E+00
 -7.000000E+00   5.000000E-01   1.302185E+00   1.302185E+00   1.631122E+00   3.208722E-01  -1.941364E+00
 -6.000000E+00   5.000000E-01   1.433752E+00   1.433752E+00   1.484771E+00   3.487133E-01  -1.496891E+00
 -5.000000E+00   5.000000E-01   1.552219E+00   1.552219E+00   1.361622E+00   3.764757E-01  -1.124707E+00
 -4.000000E+00   5.000000E-01   1.659222E+00   1.659222E+00   1.259212E+00   4.035839E-01  -8.143151E-01
 -3.000000E+00   5.000000E-01   1.756272E+00   1.756272E+00   1.174573E+00   4.296512E-01  -5.552057E-01
 -2.000000E+00   5.000000E-01   1.844698E+00   1.844698E+00   1.104794E+00   4.544590E-01  -3.380265E-01
 -1.000000E+00   5.000000E-01   1.925628E+00   1.925628E+00   1.047312E+00   4.779124E-01  -1.550185E-01
  0.000000E+00   5.000000E-01   2.000000E+00   2.000000E+00   1.000005E+00   4.999975E-01   6.008291E-09
  1.000000E+00   5.000000E-01   2.068592E+00   2.068592E+00   9.611699E-01   5.207481E-01   1.318521E-01
  2.000000E+00   5.000000E-01   2.132045E+00   2.132045E+00   9.294619E-01   5.402228E-01   2.442746E-01
  3.000000E+00   5.000000E-01   2.190889E+00   2.190889E+00   9.038188E-01   5.584920E-01   3.401731E-01
  4.000000E+00   5.000000E-01   2.245570E+00   2.245570E+00   8.833930E-01   5.756294E-01   4.218370E-01
  5.000000E+00   5.000000E-01   2.296464E+00   2.296464E+00   8.674937E-01   5.917068E-01   4.911125E-01
  6.000000E+00   5.000000E-01   2.343892E+00   2.343892E+00   8.555387E-01   6.067944E-01   5.495301E-01
  7.000000E+00   5.000000E-01   2.388140E+00   2.388140E+00   8.470221E-01   6.209587E-01   5.984008E-01
  8.000000E+00   5.000000E-01   2.429457E+00   2.429457E+00   8.414909E-01   6.342625E-01   6.388825E-01
  9.000000E+00   5.000000E-01   2.468072E+00   2.468072E+00   8.385309E-01   6.467653E-01   6.720213E-01
  1.000000E+01   5.000000E-01   2.504193E+00   2.504193E+00   8.377593E-01   6.585229E-01   6.987747E-01
  1.100000E+01   5.000000E-01   2.538011E+00   2.538011E+00   8.388232E-01   6.695884E-01   7.200218E-01
  1.200000E+01   5.000000E-01   2.569706E+00   2.569706E+00   8.414003E-01   6.800117E-01   7.365651E-01
  1.300000E+01   5.000000E-01   2.599445E+00   2.599445E+00   8.452004E-01   6.898397E-01   7.491298E-01
  1.400000E+01   5.000000E-01   2.627381E+00   2.627381E+00   8.499667E-01   6.991166E-01   7.583625E-01
  1.500000E+01   5.000000E-01   2.653659E+00   2.653659E+00   8.554762E-01   7.078837E-01   7.648314E-01
  1.600000E+01   5.000000E-01   2.678412E+00   2.678412E+00   8.615386E-01   7.161794E-01   7.690292E-01
  1.700000E+01   5.000000E-01   2.701762E+00   2.701762E+00   8.679945E-01   7.240396E-01   7.713774E-01
  1.800000E+01   5.000000E-01   2.723823E+00   2.723823E+00   8.747121E-01   7.314972E-01   7.722329E-01
  1.900000E+01   5.000000E-01   2.744697E+00   2.744697E+00   8.815843E-01   7.385827E-01   7.718946E-01
  2.000000E+01   5.000000E-01   2.764479E+00   2.764479E+00   8.885252E-01   7.453241E-01   7.706110E-01
