# V0=-10.0, s=0.5 
#  x1  x2  denmat
#   
   -4.950000E+00    -4.950000E+00     1.498619E-11
   -4.950000E+00    -4.900000E+00     1.925375E-11
   -4.950000E+00    -4.850000E+00     2.467366E-11
   -4.950000E+00    -4.800000E+00     3.153965E-11
   -4.950000E+00    -4.750000E+00     4.021551E-11
   -4.950000E+00    -4.700000E+00     5.115042E-11
   -4.950000E+00    -4.650000E+00     6.489752E-11
   -4.950000E+00    -4.600000E+00     8.213596E-11
   -4.950000E+00    -4.550000E+00     1.036972E-10
   -4.950000E+00    -4.500000E+00     1.305965E-10
   -4.950000E+00    -4.450000E+00     1.640693E-10
   -4.950000E+00    -4.400000E+00     2.056157E-10
   -4.950000E+00    -4.350000E+00     2.570508E-10
   -4.950000E+00    -4.300000E+00     3.205652E-10
   -4.950000E+00    -4.250000E+00     3.987943E-10
   -4.950000E+00    -4.200000E+00     4.949002E-10
   -4.950000E+00    -4.150000E+00     6.126648E-10
   -4.950000E+00    -4.100000E+00     7.565983E-10
   -4.950000E+00    -4.050000E+00     9.320635E-10
   -4.950000E+00    -4.000000E+00     1.145418E-09
   -4.950000E+00    -3.950000E+00     1.404175E-09
   -4.950000E+00    -3.900000E+00     1.717189E-09
   -4.950000E+00    -3.850000E+00     2.094859E-09
   -4.950000E+00    -3.800000E+00     2.549365E-09
   -4.950000E+00    -3.750000E+00     3.094926E-09
   -4.950000E+00    -3.700000E+00     3.748091E-09
   -4.950000E+00    -3.650000E+00     4.528058E-09
   -4.950000E+00    -3.600000E+00     5.457032E-09
   -4.950000E+00    -3.550000E+00     6.560607E-09
   -4.950000E+00    -3.500000E+00     7.868195E-09
   -4.950000E+00    -3.450000E+00     9.413478E-09
   -4.950000E+00    -3.400000E+00     1.123490E-08
   -4.950000E+00    -3.350000E+00     1.337621E-08
   -4.950000E+00    -3.300000E+00     1.588699E-08
   -4.950000E+00    -3.250000E+00     1.882326E-08
   -4.950000E+00    -3.200000E+00     2.224809E-08
   -4.950000E+00    -3.150000E+00     2.623221E-08
   -4.950000E+00    -3.100000E+00     3.085469E-08
   -4.950000E+00    -3.050000E+00     3.620350E-08
   -4.950000E+00    -3.000000E+00     4.237623E-08
   -4.950000E+00    -2.950000E+00     4.948059E-08
   -4.950000E+00    -2.900000E+00     5.763504E-08
   -4.950000E+00    -2.850000E+00     6.696922E-08
   -4.950000E+00    -2.800000E+00     7.762438E-08
   -4.950000E+00    -2.750000E+00     8.975362E-08
   -4.950000E+00    -2.700000E+00     1.035220E-07
   -4.950000E+00    -2.650000E+00     1.191065E-07
   -4.950000E+00    -2.600000E+00     1.366957E-07
   -4.950000E+00    -2.550000E+00     1.564891E-07
   -4.950000E+00    -2.500000E+00     1.786963E-07
   -4.950000E+00    -2.450000E+00     2.035356E-07
   -4.950000E+00    -2.400000E+00     2.312322E-07
   -4.950000E+00    -2.350000E+00     2.620161E-07
   -4.950000E+00    -2.300000E+00     2.961189E-07
   -4.950000E+00    -2.250000E+00     3.337707E-07
   -4.950000E+00    -2.200000E+00     3.751954E-07
   -4.950000E+00    -2.150000E+00     4.206064E-07
   -4.950000E+00    -2.100000E+00     4.702002E-07
   -4.950000E+00    -2.050000E+00     5.241503E-07
   -4.950000E+00    -2.000000E+00     5.825997E-07
   -4.950000E+00    -1.950000E+00     6.456529E-07
   -4.950000E+00    -1.900000E+00     7.133665E-07
   -4.950000E+00    -1.850000E+00     7.857404E-07
   -4.950000E+00    -1.800000E+00     8.627074E-07
   -4.950000E+00    -1.750000E+00     9.441227E-07
   -4.950000E+00    -1.700000E+00     1.029754E-06
   -4.950000E+00    -1.650000E+00     1.119270E-06
   -4.950000E+00    -1.600000E+00     1.212232E-06
   -4.950000E+00    -1.550000E+00     1.308087E-06
   -4.950000E+00    -1.500000E+00     1.406155E-06
