#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
  2.000000E+01   1.000000E-01   2.073212E+00   2.073212E+00   9.516839E-01   5.266165E-01   1.365903E-01
  2.000000E+01   2.000000E-01   2.239707E+00   2.239707E+00   8.836497E-01   5.821622E-01   3.834662E-01
  2.000000E+01   3.000000E-01   2.424776E+00   2.424776E+00   8.655138E-01   6.387771E-01   5.634164E-01
  2.000000E+01   4.000000E-01   2.598958E+00   2.598958E+00   8.789761E-01   6.919813E-01   6.720383E-01
  2.000000E+01   5.000000E-01   2.764479E+00   2.764479E+00   8.885281E-01   7.453238E-01   7.706061E-01
  2.000000E+01   6.000000E-01   2.928182E+00   2.928182E+00   8.849605E-01   7.995723E-01   8.881536E-01
  2.000000E+01   7.000000E-01   3.092848E+00   3.092848E+00   8.710259E-01   8.533718E-01   1.030156E+00
  2.000000E+01   8.000000E-01   3.258113E+00   3.258113E+00   8.505881E-01   9.047945E-01   1.195872E+00
  2.000000E+01   9.000000E-01   3.422099E+00   3.422099E+00   8.264379E-01   9.519062E-01   1.383697E+00
  2.000000E+01   1.000000E+00   3.582334E+00   3.582334E+00   8.003975E-01   9.929322E-01   1.592145E+00
  2.000000E+01   1.100000E+00   3.736199E+00   3.736199E+00   7.736943E-01   1.026310E+00   1.819771E+00
  2.000000E+01   1.200000E+00   3.881136E+00   3.881136E+00   7.472515E-01   1.050720E+00   2.064889E+00
  2.000000E+01   1.300000E+00   4.014767E+00   4.014767E+00   7.218802E-01   1.065137E+00   2.325226E+00
  2.000000E+01   1.400000E+00   4.134967E+00   4.134967E+00   6.984024E-01   1.068895E+00   2.597550E+00
  2.000000E+01   1.500000E+00   4.239947E+00   4.239947E+00   6.777180E-01   1.061792E+00   2.877289E+00
  2.000000E+01   1.600000E+00   4.328334E+00   4.328334E+00   6.608094E-01   1.044208E+00   3.158217E+00
  2.000000E+01   1.700000E+00   4.399271E+00   4.399271E+00   6.486657E-01   1.017203E+00   3.432400E+00
  2.000000E+01   1.800000E+00   4.452512E+00   4.452512E+00   6.421246E-01   9.825411E-01   3.690610E+00
  2.000000E+01   1.900000E+00   4.488483E+00   4.488483E+00   6.416624E-01   9.425714E-01   3.923355E+00
  2.000000E+01   2.000000E+00   4.508270E+00   4.508270E+00   6.472146E-01   8.999316E-01   4.122383E+00
  2.000000E+01   2.100000E+00   4.513518E+00   4.513518E+00   6.581276E-01   8.571499E-01   4.282180E+00
  2.000000E+01   2.200000E+00   4.506244E+00   4.506244E+00   6.732841E-01   8.162760E-01   4.400816E+00
  2.000000E+01   2.300000E+00   4.488619E+00   4.488619E+00   6.913502E-01   7.786787E-01   4.479823E+00
  2.000000E+01   2.400000E+00   4.462760E+00   4.462760E+00   7.110312E-01   7.450466E-01   4.523271E+00
  2.000000E+01   2.500000E+00   4.430592E+00   4.430592E+00   7.312441E-01   7.155319E-01   4.536569E+00
  2.000000E+01   2.600000E+00   4.393772E+00   4.393772E+00   7.511858E-01   6.899391E-01   4.525417E+00
  2.000000E+01   2.700000E+00   4.353669E+00   4.353669E+00   7.703219E-01   6.678910E-01   4.495130E+00
  2.000000E+01   2.800000E+00   4.311382E+00   4.311382E+00   7.883371E-01   6.489449E-01   4.450311E+00
  2.000000E+01   2.900000E+00   4.267775E+00   4.267775E+00   8.050761E-01   6.326612E-01   4.394753E+00
  2.000000E+01   3.000000E+00   4.223514E+00   4.223514E+00   8.204925E-01   6.186377E-01   4.331493E+00
