#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   5.000000E-01   3.692964E-01   4.000000E+00
 -1.900000E+01   5.000000E-01   3.925716E-01   4.000000E+00
 -1.800000E+01   5.000000E-01   4.190581E-01   4.000000E+00
 -1.700000E+01   5.000000E-01   4.493649E-01   4.000000E+00
 -1.600000E+01   5.000000E-01   4.842255E-01   4.000000E+00
 -1.500000E+01   5.000000E-01   5.245106E-01   4.000000E+00
 -1.400000E+01   5.000000E-01   5.712293E-01   4.000000E+00
 -1.300000E+01   5.000000E-01   6.255050E-01   4.000000E+00
 -1.200000E+01   5.000000E-01   6.885062E-01   4.000000E+00
 -1.100000E+01   5.000000E-01   7.613119E-01   4.000000E+00
 -1.000000E+01   5.000000E-01   8.446983E-01   4.000000E+00
 -9.000000E+00   5.000000E-01   9.388705E-01   4.000000E+00
 -8.000000E+00   5.000000E-01   1.043218E+00   4.000000E+00
 -7.000000E+00   5.000000E-01   1.156224E+00   4.000000E+00
 -6.000000E+00   5.000000E-01   1.275621E+00   4.000000E+00
 -5.000000E+00   5.000000E-01   1.398790E+00   4.000000E+00
 -4.000000E+00   5.000000E-01   1.523210E+00   4.000000E+00
 -3.000000E+00   5.000000E-01   1.646797E+00   4.000000E+00
 -2.000000E+00   5.000000E-01   1.768036E+00   4.000000E+00
 -1.000000E+00   5.000000E-01   1.885951E+00   4.000000E+00
  0.000000E+00   5.000000E-01   1.999997E+00   4.000000E+00
  1.000000E+00   5.000000E-01   2.109940E+00   4.000000E+00
  2.000000E+00   5.000000E-01   2.215746E+00   4.000000E+00
  3.000000E+00   5.000000E-01   2.317519E+00   4.000000E+00
  4.000000E+00   5.000000E-01   2.415429E+00   4.000000E+00
  5.000000E+00   5.000000E-01   2.509693E+00   4.000000E+00
  6.000000E+00   5.000000E-01   2.600541E+00   4.000000E+00
  7.000000E+00   5.000000E-01   2.688189E+00   4.000000E+00
  8.000000E+00   5.000000E-01   2.772811E+00   4.000000E+00
  9.000000E+00   5.000000E-01   2.854520E+00   4.000000E+00
  1.000000E+01   5.000000E-01   2.933361E+00   4.000000E+00
  1.100000E+01   5.000000E-01   3.009336E+00   4.000000E+00
  1.200000E+01   5.000000E-01   3.082423E+00   4.000000E+00
  1.300000E+01   5.000000E-01   3.152612E+00   4.000000E+00
  1.400000E+01   5.000000E-01   3.219916E+00   4.000000E+00
  1.500000E+01   5.000000E-01   3.284380E+00   4.000000E+00
  1.600000E+01   5.000000E-01   3.346075E+00   4.000000E+00
  1.700000E+01   5.000000E-01   3.405097E+00   4.000000E+00
  1.800000E+01   5.000000E-01   3.461557E+00   4.000000E+00
  1.900000E+01   5.000000E-01   3.515578E+00   4.000000E+00
  2.000000E+01   5.000000E-01   3.567284E+00   4.000000E+00
