# V0=0.0, s=0.5 
#  x1  x2  pair dist
#   
   -6.000000E+00    -1.500000E-01     8.475141E-10
   -6.000000E+00    -1.000000E-01     8.619984E-10
   -6.000000E+00    -5.000000E-02     8.769471E-10
   -6.000000E+00     0.000000E+00     8.909413E-10
   -6.000000E+00     5.000000E-02     9.026359E-10
   -6.000000E+00     1.000000E-01     9.108972E-10
   -6.000000E+00     1.500000E-01     9.149179E-10
   -6.000000E+00     2.000000E-01     9.142997E-10
   -6.000000E+00     2.500000E-01     9.090935E-10
   -6.000000E+00     3.000000E-01     8.997935E-10
   -6.000000E+00     3.500000E-01     8.872860E-10
   -6.000000E+00     4.000000E-01     8.727585E-10
   -6.000000E+00     4.500000E-01     8.575779E-10
   -6.000000E+00     5.000000E-01     8.431514E-10
   -6.000000E+00     5.500000E-01     8.307849E-10
   -6.000000E+00     6.000000E-01     8.215519E-10
   -6.000000E+00     6.500000E-01     8.161875E-10
   -6.000000E+00     7.000000E-01     8.150180E-10
   -6.000000E+00     7.500000E-01     8.179311E-10
   -6.000000E+00     8.000000E-01     8.243914E-10
   -6.000000E+00     8.500000E-01     8.334961E-10
   -6.000000E+00     9.000000E-01     8.440671E-10
   -6.000000E+00     9.500000E-01     8.547670E-10
   -6.000000E+00     1.000000E+00     8.642295E-10
   -6.000000E+00     1.050000E+00     8.711889E-10
   -6.000000E+00     1.100000E+00     8.745978E-10
   -6.000000E+00     1.150000E+00     8.737211E-10
   -6.000000E+00     1.200000E+00     8.681986E-10
   -6.000000E+00     1.250000E+00     8.580713E-10
   -6.000000E+00     1.300000E+00     8.437700E-10
   -6.000000E+00     1.350000E+00     8.260694E-10
   -6.000000E+00     1.400000E+00     8.060127E-10
   -6.000000E+00     1.450000E+00     7.848148E-10
   -6.000000E+00     1.500000E+00     7.637542E-10
   -6.000000E+00     1.550000E+00     7.440634E-10
   -6.000000E+00     1.600000E+00     7.268275E-10
   -6.000000E+00     1.650000E+00     7.128984E-10
   -6.000000E+00     1.700000E+00     7.028330E-10
   -6.000000E+00     1.750000E+00     6.968568E-10
   -6.000000E+00     1.800000E+00     6.948558E-10
   -6.000000E+00     1.850000E+00     6.963950E-10
   -6.000000E+00     1.900000E+00     7.007605E-10
   -6.000000E+00     1.950000E+00     7.070193E-10
   -6.000000E+00     2.000000E+00     7.140926E-10
   -6.000000E+00     2.050000E+00     7.208337E-10
   -6.000000E+00     2.100000E+00     7.261065E-10
   -6.000000E+00     2.150000E+00     7.288576E-10
   -6.000000E+00     2.200000E+00     7.281770E-10
   -6.000000E+00     2.250000E+00     7.233456E-10
   -6.000000E+00     2.300000E+00     7.138662E-10
   -6.000000E+00     2.350000E+00     6.994778E-10
   -6.000000E+00     2.400000E+00     6.801550E-10
   -6.000000E+00     2.450000E+00     6.560927E-10
   -6.000000E+00     2.500000E+00     6.276793E-10
   -6.000000E+00     2.550000E+00     5.954624E-10
   -6.000000E+00     2.600000E+00     5.601089E-10
   -6.000000E+00     2.650000E+00     5.223627E-10
   -6.000000E+00     2.700000E+00     4.830039E-10
   -6.000000E+00     2.750000E+00     4.428110E-10
   -6.000000E+00     2.800000E+00     4.025273E-10
   -6.000000E+00     2.850000E+00     3.628346E-10
   -6.000000E+00     2.900000E+00     3.243326E-10
   -6.000000E+00     2.950000E+00     2.875257E-10
   -6.000000E+00     3.000000E+00     2.528160E-10
   -6.000000E+00     3.050000E+00     2.205026E-10
   -6.000000E+00     3.100000E+00     1.907847E-10
   -6.000000E+00     3.150000E+00     1.637698E-10
   -6.000000E+00     3.200000E+00     1.394837E-10
   -6.000000E+00     3.250000E+00     1.178832E-10
   -6.000000E+00     3.300000E+00     9.886806E-11
   -6.000000E+00     3.350000E+00     8.229492E-11
   -6.000000E+00     3.400000E+00     6.798895E-11
   -6.000000E+00     3.450000E+00     5.575533E-11
   -6.000000E+00     3.500000E+00     4.538897E-11
   -6.000000E+00     3.550000E+00     3.668277E-11
   -6.000000E+00     3.600000E+00     2.943422E-11
   -6.000000E+00     3.650000E+00     2.345044E-11
   -6.000000E+00     3.700000E+00     1.855179E-11
   -6.000000E+00     3.750000E+00     1.457419E-11
   -6.000000E+00     3.800000E+00     1.137032E-11
   -6.000000E+00     3.850000E+00     8.809993E-12
   -6.000000E+00     3.900000E+00     6.779806E-12
   -6.000000E+00     3.950000E+00     5.182278E-12
   -6.000000E+00     4.000000E+00     3.934668E-12
   -6.000000E+00     4.050000E+00     2.967566E-12
   -6.000000E+00     4.100000E+00     2.223403E-12
   -6.000000E+00     4.150000E+00     1.654934E-12
   -6.000000E+00     4.200000E+00     1.223790E-12
   -6.000000E+00     4.250000E+00     8.991132E-13
   -6.000000E+00     4.300000E+00     6.563279E-13
   -6.000000E+00     4.350000E+00     4.760392E-13
   -6.000000E+00     4.400000E+00     3.430804E-13
   -6.000000E+00     4.450000E+00     2.456947E-13
   -6.000000E+00     4.500000E+00     1.748466E-13
   -6.000000E+00     4.550000E+00     1.236500E-13
   -6.000000E+00     4.600000E+00     8.690015E-14
   -6.000000E+00     4.650000E+00     6.069450E-14
   -6.000000E+00     4.700000E+00     4.213018E-14
   -6.000000E+00     4.750000E+00     2.906462E-14
   -6.000000E+00     4.800000E+00     1.992853E-14
   -6.000000E+00     4.850000E+00     1.358114E-14
   -6.000000E+00     4.900000E+00     9.199389E-15
   -6.000000E+00     4.950000E+00     6.193751E-15
   -6.000000E+00     5.000000E+00     4.145061E-15
   -6.000000E+00     5.050000E+00     2.757403E-15
   -6.000000E+00     5.100000E+00     1.823356E-15
   -6.000000E+00     5.150000E+00     1.198543E-15
   -6.000000E+00     5.200000E+00     7.831697E-16
   -6.000000E+00     5.250000E+00     5.087292E-16
   -6.000000E+00     5.300000E+00     3.285144E-16
   -6.000000E+00     5.350000E+00     2.108955E-16
   -6.000000E+00     5.400000E+00     1.345963E-16
   -6.000000E+00     5.450000E+00     8.540029E-17
   -6.000000E+00     5.500000E+00     5.387082E-17
   -6.000000E+00     5.550000E+00     3.378491E-17
   -6.000000E+00     5.600000E+00     2.106561E-17
   -6.000000E+00     5.650000E+00     1.305912E-17
   -6.000000E+00     5.700000E+00     8.049129E-18
   -6.000000E+00     5.750000E+00     4.932709E-18
   -6.000000E+00     5.800000E+00     3.005590E-18
   -6.000000E+00     5.850000E+00     1.820907E-18
   -6.000000E+00     5.900000E+00     1.096895E-18
   -6.000000E+00     5.950000E+00     6.570032E-19
#   
   -5.950000E+00    -6.000000E+00     1.846471E-23
   -5.950000E+00    -5.950000E+00     0.000000E+00
   -5.950000E+00    -5.900000E+00     5.308003E-23
   -5.950000E+00    -5.850000E+00     3.569844E-22
   -5.950000E+00    -5.800000E+00     1.342949E-21
   -5.950000E+00    -5.750000E+00     3.969447E-21
   -5.950000E+00    -5.700000E+00     1.025424E-20
   -5.950000E+00    -5.650000E+00     2.427585E-20
   -5.950000E+00    -5.600000E+00     5.401658E-20
   -5.950000E+00    -5.550000E+00     1.146872E-19
   -5.950000E+00    -5.500000E+00     2.346194E-19
   -5.950000E+00    -5.450000E+00     4.655398E-19
   -5.950000E+00    -5.400000E+00     9.002199E-19
   -5.950000E+00    -5.350000E+00     1.702373E-18
   -5.950000E+00    -5.300000E+00     3.156637E-18
   -5.950000E+00    -5.250000E+00     5.751088E-18
   -5.950000E+00    -5.200000E+00     1.031185E-17
   -5.950000E+00    -5.150000E+00     1.822012E-17
   -5.950000E+00    -5.100000E+00     3.175828E-17
   -5.950000E+00    -5.050000E+00     5.465571E-17
